Latitude,Longitude,Extreme_High_Temp_C
37.75,86.9167,15.6
37.75,87.0833,17.95
37.75,87.25,17.28
37.75,87.4167,14.63
37.75,87.5833,13.3
37.75,87.75,13.45
37.75,87.9167,12.28
37.75,88.0833,12.25
37.75,88.25,11.6
37.75,88.4167,12.23
37.75,88.5833,12.54
37.75,88.75,14.16
37.75,88.9167,13.69
37.75,89.0833,12.98
37.75,89.25,11.34
37.75,89.4167,13.11
37.75,89.5833,14.15
37.75,89.75,15.39
37.75,89.9167,17.47
37.75,90.0833,16.24
37.75,90.25,14.3
37.75,90.4167,11.67
37.75,90.5833,11.38
37.75,90.75,14.55
37.75,90.9167,18.15
37.75,91.0833,20.22
37.75,91.25,20.54
37.75,91.4167,20.94
37.75,91.5833,21.67
37.75,91.75,22.84
37.75,91.9167,22.83
37.75,92.0833,22.76
37.75,92.25,23.63
37.75,92.4167,24.18
37.75,92.5833,24.23
37.75,92.75,24.33
37.75,92.9167,24.41
37.75,93.0833,24.36
37.75,93.25,24.51
37.75,93.4167,24.2
37.75,93.5833,24.38
37.75,93.75,25.08
37.75,93.9167,25.07
37.75,94.0833,25.39
37.75,94.25,25.21
37.75,94.4167,24.95
37.75,94.5833,24.44
37.75,94.75,23.75
37.75,94.9167,22.95
37.75,95.0833,21.49
37.75,95.25,20.93
37.75,95.4167,20.62
37.75,95.5833,15.77
37.75,95.75,16.57
37.75,95.9167,18.17
37.75,96.0833,17.69
37.75,96.25,16.77
37.75,96.4167,16.69
37.75,96.5833,15.86
37.75,96.75,14.6
37.75,96.9167,14.27
37.5833,68.0833,38.19
37.5833,68.25,37.77
37.5833,68.4167,38.11
37.5833,68.5833,37.67
37.5833,68.75,38.96
37.5833,68.9167,40.02
37.5833,69.0833,37.49
37.5833,69.25,37.79
37.5833,69.4167,38.21
37.5833,69.5833,37.9
37.5833,69.75,37.71
37.5833,69.9167,36.23
37.5833,70.0833,33.45
37.5833,70.25,32.63
37.5833,70.4167,28.69
37.5833,70.5833,25.07
37.5833,70.75,20.84
37.5833,70.9167,23.31
37.5833,71.0833,21.37
37.5833,71.25,16.39
37.5833,71.4167,19.5
37.5833,71.5833,21.59
37.5833,71.75,21.04
37.5833,71.9167,14.89
37.5833,72.0833,11.86
37.5833,72.25,11.53
37.5833,72.4167,14.26
37.5833,72.5833,16.1
37.5833,72.75,12.64
37.5833,72.9167,17.37
37.5833,73.0833,17.86
37.5833,73.25,15.79
37.5833,73.4167,13.27
37.5833,73.5833,14.07
37.5833,73.75,15.95
37.5833,73.9167,15.55
37.5833,74.0833,17.79
37.5833,74.25,18.39
37.5833,74.4167,18.61
37.5833,74.5833,17.21
37.5833,74.75,18.29
37.5833,74.9167,15.83
37.5833,75.0833,13.48
37.5833,75.25,18.29
37.5833,75.4167,21.11
37.5833,75.5833,19.62
37.5833,75.75,17.41
37.5833,75.9167,15.49
37.5833,76.0833,18.6
37.5833,76.25,23.67
37.5833,76.4167,20.84
37.5833,76.5833,25.48
37.5833,76.75,28.06
37.5833,76.9167,28.47
37.5833,77.0833,32.14
37.5833,77.25,33.14
37.5833,77.4167,32.85
