Latitude,Longitude,Tmax_C
33.0833,69.5833,4.14
33.0833,69.75,7.25
33.0833,69.9167,11.01
33.0833,70.0833,13.37
33.0833,70.25,15.3
33.0833,70.4167,17.12
33.0833,70.5833,17.92
33.0833,70.75,18.59
33.0833,70.9167,19.12
33.0833,71.0833,18.32
33.0833,71.25,16.56
33.0833,71.4167,16.69
33.0833,71.5833,18.08
33.0833,71.75,18.88
33.0833,71.9167,18.91
33.0833,72.0833,18.83
33.0833,72.25,18.81
33.0833,72.4167,18.49
33.0833,72.5833,18.19
33.0833,72.75,18.1
33.0833,72.9167,17.9
33.0833,73.0833,17.76
33.0833,73.25,17.69
33.0833,73.4167,18.02
33.0833,73.5833,18.35
33.0833,73.75,18.32
33.0833,73.9167,17.82
33.0833,74.0833,16.52
33.0833,74.25,16.02
33.0833,74.4167,15.75
33.0833,74.5833,15.26
33.0833,74.75,15.17
33.0833,74.9167,13.11
33.0833,75.0833,11.14
33.0833,75.25,9.5
33.0833,75.4167,8.74
33.0833,75.5833,7.88
33.0833,75.75,7.3
33.0833,75.9167,5.75
32.9167,68.5833,0.25
32.9167,69.0833,0.28
32.9167,69.25,2.36
32.9167,69.4167,5.1
32.9167,69.5833,7.31
32.9167,69.75,9.76
32.9167,69.9167,10.81
32.9167,70.0833,13.8
32.9167,70.25,16.07
32.9167,70.4167,17.83
32.9167,70.5833,18.36
32.9167,70.75,18.74
32.9167,70.9167,19.65
32.9167,71.0833,18.47
32.9167,71.25,19.1
32.9167,71.4167,19.2
32.9167,71.5833,18.84
32.9167,71.75,19.03
32.9167,71.9167,19.28
32.9167,72.0833,19.11
32.9167,72.25,18.8
32.9167,72.4167,18.58
32.9167,72.5833,18.18
32.9167,72.75,17.88
32.9167,72.9167,17.9
32.9167,73.0833,17.91
32.9167,73.25,18.34
32.9167,73.4167,18.54
32.9167,73.5833,18.87
32.9167,73.75,18.79
32.9167,73.9167,18.39
32.9167,74.0833,18.18
32.9167,74.25,17.83
32.9167,74.4167,17.54
32.9167,74.5833,17.32
32.9167,74.75,17.24
32.9167,74.9167,16.21
32.9167,75.0833,15.48
32.9167,75.25,12.67
32.9167,75.4167,8.02
32.9167,75.5833,1.12
32.9167,75.75,1.55
32.9167,75.9167,1.68
32.9167,76.0833,2.96
32.9167,76.25,1.15
32.75,68.25,0.08
32.75,68.4167,0.79
32.75,68.5833,0.99
32.75,68.9167,0.73
32.75,69.0833,0.92
32.75,69.25,3.69
32.75,69.4167,2.7
32.75,69.5833,3.72
32.75,69.75,3.56
32.75,69.9167,7.94
32.75,70.0833,11.88
32.75,70.25,14.77
32.75,70.4167,17.76
32.75,70.5833,18.99
32.75,70.75,18.8
32.75,70.9167,19.55
32.75,71.0833,19.5
32.75,71.25,19.46
32.75,71.4167,18.98
32.75,71.5833,18.79
32.75,71.75,18.48
32.75,71.9167,18.98
32.75,72.0833,18.78
32.75,72.25,18.35
32.75,72.4167,18.02
32.75,72.5833,17.08
32.75,72.75,17.05
32.75,72.9167,17.13
32.75,73.0833,17.26
32.75,73.25,18.34
32.75,73.4167,18.76
32.75,73.5833,18.92
32.75,73.75,18.81
32.75,73.9167,18.5
32.75,74.0833,18.4
32.75,74.25,18.25
